"消費者物價基本分類暨項目群指數-年 依 期間, 基本分類暨項目群 與 種類",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,總指數, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,原始值, 年增率(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,59.97,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,61.74,2.95,,,, , ,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1983,62.59,1.38,,,,總指數,原始值,59.97,61.74,62.59,62.57,62.47,62.9,63.23,64.04,66.87,69.63,72.15,75.37,77.59,80.77,83.73,86.31,87.09,88.56,88.71,89.82,89.82,89.64,89.39,90.83,92.92,93.48,95.16,98.51,97.66,98.6,100,101.93,102.74,103.97,103.65
1984,62.57,-0.03,,,, , 年增率(%),-,2.95,1.38,-0.03,-0.16,0.69,0.52,1.28,4.42,4.13,3.62,4.46,2.95,4.1,3.66,3.08,0.9,1.69,0.17,1.25,0,-0.2,-0.28,1.61,2.3,0.6,1.8,3.52,-0.86,0.96,1.42,1.93,0.79,1.2,-0.31
1985,62.47,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,62.9,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,83.73,88.71,89.39,95.16,100,103.65,,,,,,,,,
1987,63.23,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,0.17,-0.28,1.8,1.42,-0.31,,,,,,,,,
1988,64.04,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,66.87,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,69.63,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,72.15,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,75.37,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,77.59,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,80.77,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,83.73,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,86.31,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,87.09,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,88.56,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,88.71,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,89.82,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,89.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,89.64,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,89.39,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,90.83,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,92.92,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,93.48,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,95.16,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,98.51,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,97.66,-0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,98.6,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,100,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,101.93,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,102.74,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,103.97,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,103.65,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(http://www.stat.gov.tw/lp.asp?ctNode=486&CtUnit=331&BaseDSD=7) more ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(http://www.stat.gov.tw/lp.asp?CtNode=1829&CtUnit=690&BaseDSD=7&xq_xC-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at=11) 國情統計通報 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項目群年指數自2013年起發布。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*由於受查者延誤或更正報價，最近3個月資料均可能修正。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
