POLLSTER,mean,len
中國時報,1.9747826086956526,92.0
TVBS,6.575444444444434,90.0
趨勢,2.7127999999999997,50.0
聯合報,5.88969696969697,33.0
年代,5.843939393939392,33.0
山水,2.0113333333333325,30.0
世新大學,7.652142857142855,14.0
自由時報,5.216363636363636,11.0
決策,4.3172727272727265,11.0
台灣指標,4.579999999999997,7.0
國民黨,7.314285714285715,7.0
精湛,5.153333333333334,6.0
民進黨,1.948333333333334,6.0
蘋果日報,7.055,6.0
北市教大,1.0060000000000007,5.0
壹電視,15.16,5.0
全國意向,13.729999999999997,4.0
中山大學,12.733333333333329,3.0
台灣蓋洛普,12.016666666666666,3.0
展欣科技,5.340000000000001,2.0
旺旺中時,18.13,2.0
遠見,5.269999999999997,2.0
典通,18.229999999999997,2.0
宋楚瑜競選總部,13.400000000000002,1.0
企業發展研究學會,4.700000000000002,1.0
中央警察大學,2.8,1.0
觀察家,3.370000000000002,1.0
親民黨,7.480000000000003,1.0
中央通訊社,6.1000000000000005,1.0
中華學術基金會,1.7000000000000022,1.0
中華民國婦女創業協會,11.399999999999999,1.0
傳訊電視,1.0000000000000029,1.0
天下雜誌,0.40000000000000147,1.0
民間決策國際公關民調中心,5.400000000000001,1.0
公信力民,0.38000000000000145,1.0
民意測驗學會,5.400000000000001,1.0
明裕文化基金會,6.3,1.0
勁報,11.0,1.0
大趨勢,6.000000000000003,1.0
